Manufacturer,Model,Model_Year,eRange_avg,Drivetrain,Battery_Voltage,Battery_Capacity_kWh
Toyota,Prius Prime/SE,2024,43,FWD,266,13
Toyota,Prius Prime/SE,2023,43,FWD,266,13
Hyundai,Kona Electric Long Range,2024,261,FWD,268,48
Chevrolet,Silverado EV,2024,393,AWD,290,168
Ferrari,296 GTB Spider,2023,7,RWD,294,6
Mini,Cooper SE Countryman ALL4,2023,18,AWD,295,10
McLaren,Artura,2023,11,RWD,296,10
Lincoln,Corsair AWD PHEV,2023,27,Part-Time 4WD,302,14
Ford,Escape FWD PHEV,2023,37,FWD,302,14
Alfa Romeo,Tonale eAWD,2024,33,AWD,304,15
Dodge,Hornet PHEV AWD,2024,33,AWD,304,15
Ferrari,SF90 Spider,2024,8,AWD,309,6
Ferrari,SF90 Spider,2023,8,AWD,309,6
Ferrari,SF90 Stradale ,2024,9,AWD,309,6
Ferrari,SF90 Stradale,2023,9,AWD,309,6
BMW,XM,2024,31,AWD,317,29
BMW,XM,2023,31,AWD,317,29
Mercedes-Benz,EQB 350 4MATIC,2022,227,AWD,321,73
Mercedes-Benz,EQB 300 4MATIC,2022,243,AWD,321,73
Mercedes-Benz,AMG EQE 4MATIC+,2024,230,AWD,328,95
Mercedes-Benz,AMG EQE 4MATIC+ (SUV),2024,235,AWD,328,95
Mercedes-Benz,EQE 500 4MATIC,2024,298,AWD,328,88
Mercedes-Benz,EQE 350 4MATIC,2024,280,AWD,330,95
Mercedes-Benz,EQE 350+,2024,298,RWD,330,95
BMW,iX xDrive50,2023,315,AWD,330,76
GMC,Hummer EV Pickup,2024,306,AWD,334,199
GMC,Hummer EV SUV,2024,306,AWD,334,199
Chevrolet,Blazer EV AWD,2024,279,AWD,335,99
Jeep,Grand Cherokee 4xe,2024,26,4WD,345,17
Jeep,Grand Cherokee 4xe,2023,26,4WD,345,17
Lincoln,Aviator AWD PHEV,2023,21,Part-Time 4WD,347,12
Lordstown,Endurance,2023,174,4WD,348,109
Mini,Cooper SE Hardtop 2 door,2024,114,FWD,349,32
Mini,Cooper SE Hardtop 2 door,2023,114,FWD,349,32
Mitsubishi,Outlander PHEV,2024,38,AWD,350,19
Mitsubishi,Outlander PHEV,2023,38,AWD,350,19
Nissan,LEAF,2024,149,FWD,350,40
Nissan,LEAF,2023,149,FWD,350,40
Nissan,LEAF SV,2024,212,FWD,350,60
Nissan,LEAF SV,2023,212,FWD,350,60
Volkswagen,ID.4 S/Pro/Pro S,2023,242,RWD,350,81
Volkswagen,ID.4 AWD Pro/Pro S,2023,255,AWD,350,81
Volkswagen,ID.4 AWD Pro/Pro S,2024,263,AWD,350,81
Tesla,Model 3 RWD,2023,272,RWD,350,60
Volkswagen,ID.4 Pro,2024,291,RWD,350,81
Chevrolet,Silverado EV,2024,450,AWD,350,208
Subaru,Crosstrek Hybrid AWD,2023,17,AWD,352,8
Nissan,ARIYA ENGAGE e-4ORCE 63kWh,2023,205,AWD,352,65
Nissan,ARIYA ENGAGE FWD 63kWh,2023,216,FWD,352,65
Audi,Q4 50 e-tron quattro,2024,236,AWD,352,82
Audi,Q4 Sportback 50 e-tron quattro,2024,242,AWD,352,82
Audi,Q4 e-tron Sportback,2023,242,AWD,352,82
Nissan,ARIYA ENG+/EVO+/PLAT+ e-4ORCE 87kWh,2023,257,AWD,352,90
Audi,Q4 40 e-tron,2024,265,RWD,352,82
Audi,Q4 e-tron,2023,265,RWD,352,82
Nissan,ARIYA FWD 87kWh,2023,297,FWD,352,90
BMW,530e xDrive Sedan,2023,19,AWD,354,12
BMW,330e xDrive,2024,20,AWD,354,12
BMW,330e xDrive,2023,20,AWD,354,12
BMW,530e Sedan,2023,21,RWD,354,12
BMW,330e Sedan,2024,22,RWD,354,12
BMW,330e Sedan,2023,22,RWD,354,12
Jeep,Wrangler 4dr 4xe,2024,22,4WD,355,17
Jeep,Wrangler 4dr 4xe,2023,22,4WD,355,17
BMW,X5 xDrive45e,2023,31,AWD,355,24
Lexus,NX 450h+ AWD,2024,37,AWD,355,18
Lexus,NX 450h+ AWD,2023,37,AWD,355,18
Toyota,RAV4 Prime AWD,2024,42,AWD,355,18
Toyota,RAV4 Prime AWD,2023,42,AWD,355,18
Mazda,MX-30,2023,100,FWD,355,35
Lexus,"RZ 450e AWD (18""/20"" Wheels)",2023,208,AWD,355,71
Subaru,Solterra,2024,225,AWD,355,72
Subaru,Solterra AWD,2023,225,AWD,355,72
Toyota,bZ4X AWD,2023,225,AWD,355,72
Toyota,bZ4X,2023,247,FWD,355,71
Hyundai,Kona Electric,2023,258,FWD,356,64
Kia,Niro Electric,2024,253,FWD,358,64
Kia,Niro Electric,2023,253,FWD,358,64
Hyundai,Santa Fe Plug-in Hybrid,2023,31,AWD,360,13
Chrysler,Pacifica Hybrid,2024,32,FWD,360,16
Kia,Sorento Plug-in Hybrid,2024,32,AWD,360,13
Chrysler,Pacifica Hybrid,2023,32,FWD,360,16
Kia,Sorento Plug-in Hybrid,2023,32,AWD,360,13
Hyundai,Tucson Plug-in Hybrid,2024,33,AWD,360,13
Hyundai,Tucson Plug-in Hybrid,2023,33,AWD,360,13
Kia,Sportage Plug-in Hybrid,2024,34,AWD,360,13
Kia,Niro Plug-in Hybrid,2023,34,FWD,360,11
Kia,Sportage Plug-in Hybrid,2023,34,AWD,360,14
Tesla,Model Y AWD,2023,305,AWD,360,84
Tesla,Model 3 AWD,2023,337,AWD,360,84
Volvo,XC90 T8 AWD Recharge,2024,32,AWD,369,18
Volvo,XC90 T8 AWD Recharge,2023,33,AWD,369,18
Volvo,XC60 T8 AWD Recharge,2024,35,AWD,369,18
Volvo,XC60 T8 AWD Recharge,2023,36,AWD,369,18
Volvo,S90 T8 AWD Recharge ext. Range,2023,38,AWD,369,18
Volvo,S60 T8 AWD Recharge,2024,40,AWD,369,18
Volvo,S60 T8 AWD Recharge,2023,40,AWD,369,18
Volvo,V60 T8 AWD Recharge ext. Range,2023,40,AWD,369,18
BMW,iX xDrive40,2024,217,AWD,369,111
BMW,iX M60,2023,281,AWD,369,111
BMW,i7 M70 xDrive Sedan,2024,283,AWD,369,111
BMW,iX M60,2024,296,AWD,369,111
BMW,iX xDrive50,2024,307,AWD,369,111
Porsche,Cayenne Turbo S e-Hybrid/Coupe,2023,15,AWD,374,17
Porsche,Panamera Turbo S E-Hybrid,2023,17,AWD,374,17
Bentley Motors,Bentayga Hybrid,2023,18,AWD,374,17
Bentley Motors,Flying Spur Hybrid,2024,21,AWD,374,17
Bentley Motors,Flying Spur Hybrid,2023,21,AWD,374,17
Audi,Q5 TFSI e,2023,22,AWD,374,17
BMW,i4 M50 Gran Coupe,2024,248,AWD,376,105
Rolls-Royce,Black Badge Spectre,2024,272,AWD,376,105
Rolls-Royce,Spectre,2024,279,AWD,376,105
BMW,i4 xDrive40 Gran Coupe,2024,293,AWD,376,105
BMW,i7 xDrive60 Sedan,2023,307,AWD,376,105
BMW,i7 xDrive60 Sedan,2024,308,4WD,376,105
BMW,i7 eDrive50 Sedan,2024,311,RWD,376,105
Ford,F150 Lightning 4WD,2023,240,AWD,378,123
Fisker Automotive,"Ocean Extreme, One",2023,360,Part-Time 4WD,380,113
Porsche,Panamera 4/4S E-Hybrid,2023,19,AWD,382,18
Jaguar,I-PACE EV400,2024,232,4WD,388,86
Jaguar,I-PACE EV400,2023,232,4WD,388,86
Mercedes-Benz,S 580 e 4MATIC,2023,56,AWD,394,22
Volvo,XC40 Recharge Twin,2023,223,AWD,396,77
Volvo,C40 Recharge Twin,2023,226,AWD,396,77
Polestar Automotive USA,Polestar 2 Dual Motor,2023,254,AWD,396,77
Polestar Automotive USA,Polestar 2,2023,270,FWD,396,77
Mercedes-Benz,AMG EQS 4MATIC+,2022,277,AWD,396,111
Mercedes-Benz,EQS 680 4MATIC Maybach (SUV),2024,280,AWD,396,111
Mercedes-Benz,EQS 450 4MATIC (SUV),2023,285,AWD,396,111
Mercedes-Benz,EQS 580 4MATIC (SUV),2023,285,AWD,396,111
Mercedes-Benz,AMG EQS 4MATIC+,2024,305,AWD,396,111
Mercedes-Benz,EQS 450+ (SUV),2023,305,RWD,396,111
Mercedes-Benz,EQS 450 4MATIC,2023,340,AWD,396,111
Mercedes-Benz,EQS 450 4MATIC,2024,345,AWD,396,107
Mercedes-Benz,EQS 580 4MATIC,2024,345,AWD,396,107
Mercedes-Benz,EQS 450+,2024,352,RWD,396,111
Audi,e-tron quattro/S,2023,204,AWD,397,95
Audi,e-tron Sportback/S Sportback,2023,205,AWD,397,95
Audi,e-tron GT/RS e-tron GT,2023,235,AWD,397,95
Audi,SQ8 e-tron/Sportback e-tron,2024,236,AWD,397,114
Audi,Q4 e-tron quattro,2023,236,AWD,397,95
Polestar Automotive USA,Polestar 2 Dual Motor Performance Pack,2024,247,AWD,397,77
Volvo,C40/XC40 Recharge Twin,2024,256,AWD,397,77
Polestar Automotive USA,Polestar 2 Dual Motor,2024,271,AWD,397,77
Audi,Q8 e-tron quattro,2024,285,AWD,397,114
Volvo,C40/XC40 Recharge,2024,295,RWD,397,77
Audi,Q8 Sportback e-tron quattro,2024,296,AWD,397,114
Audi,Q8 Sportback e-tron ultra quattro,2024,300,AWD,397,114
Land Rover,New Range Rover/Sport P440 PHEV,2023,21,4WD,398,38
BMW,i4 eDrive35 Gran Coupe,2024,164,RWD,399,84
BMW,i5 M60 xDrive Sedan,2024,248,4WD,399,84
BMW,i4 M50 Gran Coupe,2023,249,AWD,399,83
BMW,i4 eDrive35/40 Gran Coupe,2023,268,RWD,399,84
BMW,i5 eDrive40 Sedan,2024,283,RWD,399,84
BMW,i4 eDrive40 Gran Coupe,2024,292,RWD,399,84
VinFast,VF 8 Eco/Plus,2023,199,AWD,400,88
Chevrolet,Bolt EUV,2023,247,FWD,400,75
Chevrolet,Bolt EV,2023,259,FWD,400,75
Rivian ,R1S All-Terrain Quad Large (20in),2024,274,AWD,400,144
Rivian ,R1S,2023,298,AWD,400,144
Cadillac,Lyric AWD,2023,307,AWD,400,119
Rivian ,R1T,2023,309,AWD,400,144
Cadillac,Lyric,2023,312,RWD,400,119
Cadillac,Lyric,2024,314,RWD,400,119
Rivian ,R1S Dual Motor,2023,330,AWD,400,144
Rivian ,R1T Dual Motor,2023,347,AWD,400,144
VinFast,VF 9 Eco/Plus,2024,310,AWD,403,93
Ford,F150 Lightning 4WD Plat/Ext. Range,2023,310,AWD,403,165
Ford,Mustang Mach-E AWD,2023,224,AWD,404,116
Ford,Mustang Mach-E GT,2023,265,AWD,404,116
Ford,Mustang Mach-E AWD CAL RT 1/EXT,2023,301,AWD,404,116
Ford,Mustang Mach-E RWD Extended,2023,310,RWD,404,116
Polestar Automotive USA,Polestar 2 Single Motor,2024,314,RWD,404,81
Tesla,Model S ,2023,405,AWD,408,104
Ford,Mustang Mach-E RWD (incl. LFP),2023,249,RWD,410,91
Tesla,Model X,2023,330,AWD,410,104
Hyundai,Ioniq 6 Standard range RWD,2024,240,RWD,480,53
Hyundai,Ioniq 6 Standard range RWD,2023,240,RWD,480,53
Hyundai,Ioniq 5 Standard range RWD,2024,220,RWD,523,58
Genesis,Electrified G80,2024,282,AWD,523,87
Genesis,Electrified G80,2023,282,AWD,523,87
Kia,EV9 Long Range AWD,2024,275,AWD,552,99
Kia,EV9 Long Range RWD,2024,304,RWD,552,99
Lucid,Air Pure RWD,2024,407,RWD,580,86
Kia,EV9 Standard Range RWD,2024,230,RWD,632,76
Kia,EV6 AWD GT,2023,206,AWD,697,77
Kia,EV6 AWD GT,2024,218,AWD,697,77
Kia,EV6 Standard Range RWD,2024,232,RWD,697,77
Genesis,GV60 Performance,2023,235,AWD,697,77
Genesis,Electrified G70,2024,236,AWD,697,77
Genesis,GV60 Advance,2023,248,AWD,697,77
Genesis,GV60 Advanced/Performance,2024,256,AWD,697,77
Hyundai,Ioniq 5 Long range AWD,2024,260,AWD,697,77
Kia,EV6 Long Range AWD,2024,267,AWD,697,77
Kia,EV6 Long Range AWD,2023,267,AWD,697,77
Kia,EV6 Standard/Long Range RWD,2023,271,RWD,697,77
Hyundai,Ioniq 6 Long range AWD,2024,293,AWD,697,77
Hyundai,Ioniq 6 Long range AWD,2023,293,AWD,697,77
Genesis,GV60 Standard,2024,294,RWD,697,77
Hyundai,Ioniq 5 Long range RWD,2024,303,RWD,697,77
Kia,EV6 Long Range RWD,2024,310,RWD,697,77
Hyundai,Ioniq 6 Long range RWD,2024,333,RWD,697,77
Hyundai,Ioniq 6 Long range RWD,2023,333,RWD,697,77
Audi,e-tron GT/RS e-tron GT,2024,249,AWD,723,93
Lucid,Air Pure AWD,2023,397,AWD,800,120
Lucid,Air Touring AWD,2023,405,AWD,800,120
Lucid,Air Sapphire AWD,2024,427,AWD,800,120
Lucid,Air GT P AWD,2023,446,AWD,800,120
Lucid,Air G Touring XR AWD,2023,493,AWD,800,120
Porsche,Taycan 4S Perf Battery/Plus,2024,221,AWD,850,109
Porsche,Taycan Perf Battery/Plus,2024,225,RWD,850,109
Porsche,Taycan Perf Battery/Battery Plus,2023,225,RWD,850,109
Porsche,Taycan AWD,2023,226,AWD,850,109
Porsche,Taycan Cross Turismo,2024,229,AWD,850,109
Porsche,Taycan Cross Turismo,2023,229,AWD,850,109
Porsche,Taycan Turbo/Turbo S,2024,230,AWD,850,109
Porsche,Taycan GTS Sport Turismo,2023,233,AWD,850,109
Porsche,Taycan GTS Sport Turismo,2024,240,AWD,850,109
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
