Manufacturer,Model,EPA Size Class,Range,
Mercedes-Benz,Mercedes-Benz E 450 (convertible),Subcompact Cars,435,
Mercedes-Benz,Mercedes-Benz E 450 (coupe),Subcompact Cars,452,
Mercedes-Benz,Mercedes-Benz E 450 4MATIC,Midsize Cars,549,
Mercedes-Benz,Mercedes-Benz E 450 4MATIC (convertible),Subcompact Cars,435,
Mercedes-Benz,Mercedes-Benz E 450 4MATIC (coupe),Subcompact Cars,435,
Mercedes-Benz,Mercedes-Benz E 450 4MATIC All-Terrain (wagon),Midsize Station Wagons,506,
Mercedes-Benz,Mercedes-Benz GLE 450 4MATIC,Standard SUV 4WD,518,
Mercedes-Benz,Mercedes-Benz GLE 580 4MATIC,Standard SUV 4WD,428,
Mercedes-Benz,Mercedes-Benz GLS 450 4MATIC,Standard SUV 4WD,500,
Mercedes-Benz,Mercedes-Benz GLS 580 4MATIC,Standard SUV 4WD,428,
Mercedes-Benz,Mercedes-Benz GLS 600 4MATIC Maybach,Standard SUV 4WD,381,
Mercedes-Benz,Mercedes-Benz S 500 4MATIC,Large Cars,ᵃ,
Mercedes-Benz,Mercedes-Benz S 580 4MATIC,Large Cars,ᵃ,
Mercedes-Benz,Mercedes-Benz S 580 4MATIC Maybach,Large Cars,ᵃ,
RAM,RAM 1500 3.6L 4X2,Standard Pick-up Trucks 2WD,506,572
RAM,RAM 1500 5.7L 4X2,Standard Pick-up Trucks 2WD,437,494
RAM,RAM 1500 HFE 4X2,Standard Pick-up Trucks 2WD,ᵃ,ᵃ
RAM,RAM 3.6L 1500 4X4,Standard Pick-up Trucks 4WD,483,546
RAM,RAM 5.7L 1500 4X4,Standard Pick-up Trucks 4WD,437,494
Toyota,Toyota Avalon Hybrid,Midsize Cars,568,
Toyota,Toyota Avalon Hybrid XLE,Midsize Cars,581,
Toyota,Toyota Camry Hybrid LE,Midsize Cars,686,
Toyota,Toyota Camry Hybrid SE/XLE/XSE,Midsize Cars,607,
Toyota,Toyota Corolla Hybrid,Compact Cars,593,
Toyota,Toyota Highlander Hybrid,Small SUV 2WD,616,
Toyota,Toyota Highlander Hybrid AWD,Standard SUV 4WD,598,
Toyota,Toyota Highlander Hybrid AWD LTD/PLAT,Standard SUV 4WD,598,
Toyota,Toyota Prius,Midsize Cars,588,
Toyota,Toyota Prius AWD,Midsize Cars,519,
Toyota,Toyota Prius Eco,Midsize Cars,633,
Toyota,Toyota RAV4 Hybrid AWD,Small SUV 4WD,580,
Toyota,TOYOTA Sienna AWD,"Special Purpose Vehicle, minivan 2WD",648,
Toyota,TOYOTA Sienna AWD,"Special Purpose Vehicle, minivan 4WD",630,
Toyota,Toyota Venza AWD,Small SUV 4WD,566,
,,,,
,Note:  Vehicles with two ranges listed have two fuel tank size options.,,,
,,,,
,"Source: 
U.S. Department of Energy and U.S. Environmental Protection Agency, Fuel Economy Website, Power 
     Search www.fueleconomy.gov/feg/powerSearch.jsp. Data accessed July 29, 2021.",,,
,,,,
,,,,
,,,,
,,,,
,       a Data are not available.,,,
